index,id_news,title,label
0,21868949,Provincial Osorno pierde el invicto tras caer 1-0 ante Rengo en emocionante partido,NEU
1,21863164,Combustibles volverán a bajar este jueves y también la próxima semana,POS
2,21862451,Osorno: Un 33% de avance registra construcción de nuevo gimnasio en Escuela Monseñor Francisco Valdés en Francke,NEU
3,21865072,Detienen a presunto autor de homicidio registrado afuera de local nocturno en Osorno,POS
4,21860581,Una persona fallecida dejó choque en ruta 215 en las cercanías de Osorno,NEG
5,21859282,Autoridades y representantes del rubro agrícola efectúan primera reunión del año contra el abigeato,NEU
6,21864849,Jürgensen desdramatizó últimas cifras de Cadem en torno a gestión de Sebastián Piñera,NEU
7,21858814,Compensaciones: Essal solo contempla apegarse a la ley,NEU
8,21862085,En Río Rahue encuentran sin vida a joven estudiante viñamarino extraviado en Osorno,NEG
9,21862192,Osorno: Construyeron petril al final de calle Pérez que evitaría crecida del río Damas,POS
10,21862577,Sin señalética: Camionetas protagonizan colisión con volcamiento en calle Bilbao de Osorno (VIDEO),NEG
11,21861200,Dos fallecidos dejó incendio de proporciones en Osorno,NEG
12,21864185,Sectores apartados ya pueden postular al Fondo de Acceso a la Energía,POS
13,21860841,Formalizan por cuasidelito de homicidio a implicados en muerte de menor en piscina de Puyehue,POS
14,21864906,Los Lagos: Core acuerda trabajo intersectorial para crear plan de mejoramiento en conectividad,POS
15,21866218,Graves lesiones de guardia de parque municipal de Osorno tras violenta agresión,NEG
16,21861084,Sorprendente hallazgo: Confirman presencia de un meteorito en sitio Pilauco de Osorno,NEU
17,21861351,Por un verano más sano: Minsal fiscalizó locales del Mercado Municipal de Osorno,NEU
18,21868517,Anuncian millonario proyecto para nuevas dependencia del Hogar de Cristo en Osorno,POS
19,21863990,Alcaldesa de Puyehue confía en que reconstrucción del paso fronterizo Cardenal Samoré potenciará a la zona,NEU
20,21865022,Seremi de Obras Públicas compromete inicio de trabajos en puente Trumao 2 a partir de este lunes,NEU
21,21863290,Red Ambiental Ciudadana de Osorno presentó al CORE propuestas en beneficio de cuencas de ríos,POS
22,21867919,Autoridades llaman a la calma ante Alerta Amarilla declarada en complejo volcánico Puyehue-Cordón Caulle,NEU
23,21861453,Tragedia en Purranque: Pareja pierde la vida ahogada en el sector Río de La Plata,NEG
24,21865257,Presidente de Aproleche manifiesta preocupación por lentitud en aplicación de salvaguardia de la leche,NEU
25,21859105,Essal aclaró que no han recibido solicitud formal de reembolso de recursos por parte del municipio de Osorno,NEU
26,21862559,Laicos de Osorno: Renuncia de Ezzati es un paso importante. Lo había hecho pésimo,NEU
27,21859279,Provincial Osorno cayó 2-0 de visita ante Rancagua Sur,NEU
28,47135604,Diputados UDI piden información a  municipalidades y Metro de Santiago por denuncias de acoso en barrio universitario,NEU
29,47136121,Panquehue implementa aplicación lectora de patentes vehiculares,NEU
30,47136140,Dos personas fallecidas dejó accidente de tránsito en las cercanías de Collipulli,NEG
31,47136168,Nuevo ataque incendiario dejó un camión destruido en la ruta Lumaco- Traiguén,NEG
32,47137055,PDi detuvo a 4 personas por tráfico en Laguna de Zapallar,POS
33,47137152,Fintech Clever lanza ambicioso programa de referidos para triplicar su presencia nacional en 2022,NEU
34,47138493,"Murió Luis Cortes Villa, expresidente de la fundación del dictador Augusto Pinochet",NEU
35,47138503,Presidente Gabriel Boric encabeza primera reunión del Comité Interministerial de Respuesta Pandémica,NEU
36,47140850,Hospital reconoce el compromiso y dedicación de especialista que continuará trabajando tras cumplir con su Periodo Asistencial Obligatorio,NEU
37,47144093,En ajuste de cuentas disparan a ciudadano haitiano en la Copec de O’Higgins,NEG
38,47144165,Desde mañana al fin empieza a rodar el balón en el fútbol amateur local,NEU
39,47144169,Unos mil contribuyentes serán asesorados por alumnos del Roberto Humeres,NEU
40,47149030,Estos son los principales riesgos de la Región de Coquimbo frente al Cambio Climático,NEU
41,47153512,Delegada Sofía González fija lineamientos a nuevos seremis en primer Gabinete Regional,NEU
42,47153516,Festival de documentales más importante de Canadá tendrá foco en el cine chileno,NEU
