id_news,title,date,title_label,title_score
47390948.0,De los artistas José Reyes y Gastón Ampuero: Hoy se inaugura la muestra “Cofradía” en Galería Machacoya,2021-11-05,NEG,0.9932275414466858
21888036.0,Detienen a mujer que habría apuñalado a su pareja en Alerce,2021-10-03,NEG,0.9998674392700195
47526598.0,En Alerce detienen a una mujer que habría apuñalado en la pierna a su pareja,2021-10-04,NEG,0.999848484992981
21887883.0,PDI detiene a sujeto por homicidio frustrado y amenazas en Isla Tenglo en la comuna de Puerto Montt,2021-11-12,NEG,0.9998763799667358
21889456.0,Plan Protege calle contará con vehículo en Puerto Montt para ampliar y mejorar su cobertura,2021-08-05,NEG,0.9998728036880493
22322983.0,Dejan en prisión a un imputado por dos asaltos cerca de escuelas,2021-10-25,NEG,0.9998732805252075
22520856.0,Armada y Scout Marinos recolectaron 750 kilos de basura en playa de Isla Tenglo,2021-10-05,NEG,0.9998531341552734
22333018.0,Bajo modalidad híbrida se hará la quinta Feria del Libro,2021-10-11,NEG,0.9860679507255554
22596456.0,Armada y Scout Marinos recolectaron 750 kilos de basura,2021-10-04,NEG,0.9998323917388916
21426843.0,Carabineros detecta 3 kilos de pasta base de Cocaína en caja de pimentones,2021-12-30,NEG,0.9994475245475769
22323177.0,Municipio habilita portal con información pública georreferenciada de Puerto Montt,2021-11-07,NEG,0.9988430738449097
21445870.0,CDSC Puerto Varas se coronó campeón en todas las series de la Liga Cecinas Llanquihue de Básquetbol,2021-10-13,NEG,0.8652931451797485
47519054.0,Un masajista es declarado culpable de dos abusos sexuales contra mujeres,2021-07-14,NEG,0.9994667172431946
47391117.0,PDI desarticula banda criminal dedicada a robos que operaba en Los Lagos y La Araucanía,2021-11-05,NEG,0.9998670816421509
47524050.0,Sentencian a Delfines a devolver más de $234 millones a la Municipalidad,2021-09-01,NEG,0.9961727261543274
22330479.0,Acuerdan ampliar comodato de la ciudad deportiva de Deportes Puerto Montt,2021-09-09,NEG,0.7648206949234009
21939972.0,PDI de Puerto Montt incautó encomienda con éxtasis proveniente de Holanda,2021-08-12,NEG,0.9997367262840271
47527463.0,Fieles católicos llevan comida y abrigo a puertomontinos en situación de calle,2021-10-12,NEG,0.9756947755813599
21889457.0,Labocar investiga homicidio en Puerto Montt,2021-08-06,NEG,0.995236337184906
